Category,Flagged Type,Flagged ID,Comments,Created At
This activity has been automatically flagged as being in a vehicle,Activity,15577332879,"","Aug 25, 2025, 7:06:54 AM"
This activity has been automatically flagged as being in a vehicle,Activity,15590077507,"","Aug 26, 2025, 9:56:38 AM"
